task_id,title,description,status,assignee,creator,created_at,updated_at,due_date,completed_at,priority,tags
201,Аудит системы безопасности,Полный аудит информационной безопасности компании,in_progress,@kulikova_alyona,@admin_ivan,2025-11-11,,2025-11-21,,urgent,"[""security"", ""audit"", ""compliance"", ""admin""]"
202,Обновление политик доступа,Пересмотр и обновление политик доступа к системам,todo,@kulikova_alyona,@hr_elena,2025-11-12,,2025-11-23,,high,"[""access-control"", ""policies"", ""admin""]"
203,Координация с внешними аудиторами,Организация проверки внешними аудиторами,in_progress,@kulikova_alyona,@admin_ivan,2025-11-13,,2025-11-25,,high,"[""audit"", ""coordination"", ""external"", ""admin""]"
204,Подготовка отчетности для руководства,Анализ и подготовка отчетов по безопасности для совета директоров,todo,@kulikova_alyona,@hr_elena,2025-11-14,,2025-11-27,,medium,"[""reporting"", ""management"", ""security"", ""admin""]"
205,Обновление регламентов ИБ,Разработка новых регламентов информационной безопасности,in_progress,@kulikova_alyona,@admin_ivan,2025-11-15,,2025-11-29,,high,"[""regulations"", ""security"", ""documentation"", ""admin""]"
206,Проверка соответствия GDPR,Аудит соответствия требованиям GDPR,done,@kulikova_alyona,@hr_elena,2025-11-16,,2025-12-01,,urgent,"[""gdpr"", ""compliance"", ""privacy"", ""admin""]"
207,Инвентаризация активов,Полная инвентаризация информационных активов компании,in_progress,@kulikova_alyona,@admin_ivan,2025-11-17,,2025-12-03,,medium,"[""inventory"", ""assets"", ""security"", ""admin""]"
208,Обучение сотрудников безопасности,Организация тренингов по информационной безопасности,in_progress,@kulikova_alyona,@hr_elena,2025-11-18,2025-12-18 10:25:57,2025-12-05,,medium,"[""training"", ""security"", ""education"", ""admin""]"
209,Анализ инцидентов безопасности,Расследование и анализ последних инцидентов безопасности,in_progress,@kulikova_alyona,@admin_ivan,2025-11-19,,2025-12-07,,high,"[""incidents"", ""analysis"", ""security"", ""admin""]"
210,Планирование улучшений ИБ,Разработка плана улучшений системы безопасности на следующий год,todo,@kulikova_alyona,@hr_elena,2025-11-20,,2025-12-09,,medium,"[""planning"", ""improvements"", ""security"", ""admin""]"
211,sdfsfdsdf,ssffs,todo,,@kulikova_alyona,,,,,medium,
212,ылодывлаоыдвлоа,ываываываыва,todo,,@kulikova_alyona,,,,,medium,
213,ыва,ыва,todo,,@kulikova_alyona,,,,,medium,
214,тесетест,пропустить,todo,,@kulikova_alyona,,,,,medium,
